fecha,tasa_cetes,inflacion,pib,ln_tc,td,ln_ipc,ln_actvindustrial,ln_inpp
dic-00,0.1705,0.0896,0.03573,2.26278,NULL,8.6398,4.45495,NULL
ene-01,0.1789,0.0811,0.02568,2.27035,NULL,8.77908,4.50611,NULL
feb-01,0.1734,0.0709,0.01564,2.27238,NULL,8.70485,4.46303,NULL
mar-01,0.158,0.0717,0.00559,2.25059,NULL,8.6531,4.51184,NULL
abr-01,0.1496,0.0711,0.00306,2.22502,NULL,8.69739,4.42218,NULL
may-01,0.1195,0.0695,0.00053,2.21741,NULL,8.79413,4.48215,NULL
jun-01,0.0943,0.0657,-0.002,2.20506,NULL,8.8048,4.47845,NULL
jul-01,0.0939,0.0588,-0.0052,2.21275,NULL,8.77561,4.49635,NULL
ago-01,0.0751,0.0593,-0.0084,2.2192,NULL,8.75,4.52973,NULL
sep-01,0.0932,0.0614,-0.0116,2.25232,NULL,8.59481,4.50207,NULL
oct-01,0.0836,0.0589,-0.01033,2.22508,NULL,8.61922,4.48778,NULL
nov-01,0.0743,0.0539,-0.00907,2.22658,NULL,8.67126,4.47214,NULL
dic-01,0.0629,0.044,-0.0078,2.21588,NULL,8.75971,4.45253,NULL
ene-02,0.0697,0.0479,-0.0151,2.21335,NULL,8.84331,4.46527,NULL
feb-02,0.0791,0.0479,-0.0224,2.2116,NULL,8.81499,4.41992,NULL
mar-02,0.0723,0.0466,-0.0297,2.199,NULL,8.90407,4.43702,NULL
abr-02,0.0576,0.047,-0.01608,2.23773,NULL,8.92009,4.47024,NULL
may-02,0.0661,0.0468,-0.00245,2.2676,NULL,8.85818,4.47208,NULL
jun-02,0.073,0.0494,0.01117,2.29826,NULL,8.77353,4.45328,NULL
jul-02,0.0738,0.0551,0.00829,2.28096,NULL,8.70315,4.47917,NULL
ago-02,0.0668,0.0529,0.00541,2.29364,NULL,8.73495,4.509,NULL
sep-02,0.0734,0.0495,0.00253,2.32531,NULL,8.6532,4.48491,NULL
oct-02,0.0766,0.0494,0.00641,2.31799,NULL,8.69412,4.51378,NULL
nov-02,0.073,0.0539,0.01028,2.31713,NULL,8.72532,4.46564,NULL
dic-02,0.0688,0.057,0.01416,2.34558,NULL,8.72048,4.45296,NULL
ene-03,0.0827,0.0516,0.01985,2.3894,NULL,8.69188,4.47232,NULL
feb-03,0.0904,0.0552,0.02554,2.40084,NULL,8.68728,4.4519,NULL
mar-03,0.0917,0.0564,0.03123,2.37852,NULL,8.68508,4.49578,NULL
abr-03,0.0786,0.0525,0.02261,2.33214,NULL,8.78108,4.46117,NULL
may-03,0.0525,0.047,0.014,2.3358,NULL,8.80974,4.48569,NULL
jun-03,0.052,0.0427,0.00538,2.34536,NULL,8.86149,4.48312,NULL
jul-03,0.0457,0.0413,0.00527,2.35369,NULL,8.90315,4.49892,NULL
ago-03,0.0445,0.0404,0.00515,2.4022,NULL,8.93477,4.50605,NULL
sep-03,0.0473,0.0404,0.00504,2.3991,NULL,8.96476,4.49724,NULL
oct-03,0.0511,0.0396,0.00901,2.40266,NULL,8.99527,4.52303,NULL
nov-03,0.0499,0.0398,0.01297,2.43348,NULL,9.05421,4.46777,NULL
dic-03,0.0606,0.0398,0.01694,2.41923,NULL,9.08197,4.49131,3.88608
ene-04,0.0495,0.042,0.02299,2.39984,NULL,9.15152,4.50672,3.89258
feb-04,0.0557,0.0453,0.02904,2.40339,NULL,9.20952,4.47321,3.90445
mar-04,0.0628,0.0423,0.03509,2.41366,NULL,9.2608,4.55563,3.91588
abr-04,0.0598,0.0421,0.03729,2.43443,NULL,9.20514,4.51083,3.92592
may-04,0.0659,0.0429,0.03948,2.4349,NULL,9.21396,4.52042,3.93234
jun-04,0.0657,0.0437,0.04168,2.44459,NULL,9.23813,4.53116,3.93848
jul-04,0.0681,0.0449,0.04022,2.43431,NULL,9.22191,4.52367,3.94433
ago-04,0.0721,0.0482,0.03877,2.43192,NULL,9.23643,4.53567,3.95058
sep-04,0.0736,0.0506,0.03731,2.4326,NULL,9.30177,4.53898,3.95392
oct-04,0.0776,0.054,0.03906,2.44573,NULL,9.35568,4.55233,3.95951
nov-04,0.082,0.0543,0.04081,2.41924,NULL,9.40117,4.52119,3.9642
dic-04,0.085,0.0519,0.04256,2.41139,NULL,9.46637,4.51778,3.96438
ene-05,0.086,0.0454,0.03094,2.41717,0.03951,9.48015,4.52249,3.96882
feb-05,0.0915,0.0427,0.01933,2.40663,0.03773,9.53166,4.4905,3.97308
mar-05,0.0941,0.0439,0.00771,2.41397,0.03627,9.44754,4.53548,3.9785
abr-05,0.0963,0.046,0.01418,2.40543,0.03363,9.41922,4.5562,3.98119
may-05,0.0975,0.046,0.02066,2.39023,0.03303,9.46996,4.55703,3.98146
jun-05,0.0963,0.0433,0.02713,2.37725,0.03482,9.50942,4.54607,3.98265
jul-05,0.0961,0.0447,0.02662,2.36139,0.03923,9.57565,4.51093,3.98978
ago-05,0.096,0.0395,0.0261,2.3795,0.0367,9.56403,4.56968,3.99101
sep-05,0.0921,0.0351,0.02559,2.37868,0.03578,9.68782,4.55632,3.99355
oct-05,0.0891,0.0305,0.0275,2.37822,0.03385,9.66521,4.56896,3.99716
nov-05,0.0871,0.0291,0.02941,2.3589,0.02939,9.73098,4.56106,3.99934
dic-05,0.0822,0.0333,0.03132,2.36409,0.0277,9.78711,4.5673,4.0036
ene-06,0.0788,0.0394,0.03968,2.34596,0.03477,9.84729,4.56563,4.01229
feb-06,0.0761,0.0375,0.04804,2.34718,0.03745,9.83662,4.52444,4.01539
mar-06,0.0737,0.0341,0.0564,2.38817,0.03311,9.86644,4.61486,4.02079
abr-06,0.0717,0.032,0.05168,2.40607,0.03195,9.93529,4.55761,4.03164
may-06,0.0702,0.03,0.04695,2.4245,0.02839,9.8351,4.60684,4.04282
jun-06,0.0702,0.0318,0.04223,2.42235,0.03258,9.85991,4.5957,4.04917
jul-06,0.0703,0.0306,0.04396,2.39042,0.04007,9.90827,4.58286,4.05505
ago-06,0.0703,0.0347,0.0457,2.3891,0.03872,9.95462,4.61496,4.05904
sep-06,0.0706,0.0409,0.04743,2.3973,0.03995,9.99594,4.59888,4.0592
oct-06,0.0705,0.0429,0.04314,2.37621,0.03817,10.04529,4.61577,4.05644
nov-06,0.0704,0.0409,0.03885,2.39767,0.03502,10.12511,4.58826,4.05895
dic-06,0.0704,0.0405,0.03456,2.38062,0.03316,10.18295,4.56089,4.06302
ene-07,0.0704,0.0398,0.02979,2.40136,0.04046,10.22417,4.57805,4.06369
feb-07,0.0704,0.0411,0.02503,2.41307,0.04051,10.19013,4.54252,4.06994
mar-07,0.0704,0.0421,0.02026,2.40082,0.03726,10.26631,4.62805,4.07499
abr-07,0.0701,0.0399,0.02015,2.39131,0.03513,10.27494,4.57108,4.07954
may-07,0.0724,0.0395,0.02003,2.37439,0.0315,10.35453,4.61157,4.08113
jun-07,0.072,0.0398,0.01992,2.37905,0.03281,10.3466,4.60457,4.08675
jul-07,0.0719,0.0414,0.0213,2.39126,0.0379,10.3307,4.59717,4.09222
ago-07,0.072,0.0403,0.02269,2.40133,0.03831,10.32048,4.607,4.09555
sep-07,0.0721,0.0379,0.02407,2.39165,0.03761,10.31878,4.59885,4.09991
oct-07,0.072,0.0374,0.02515,2.37046,0.03771,10.35643,4.6376,4.10331
nov-07,0.0744,0.0393,0.02622,2.38847,0.03354,10.30127,4.58732,4.11056
dic-07,0.0744,0.0376,0.0273,2.3902,0.03106,10.29339,4.57425,4.11288
ene-08,0.0742,0.037,0.02213,2.38197,0.04117,10.26791,4.58918,4.12007
feb-08,0.0743,0.0372,0.01696,2.37251,0.03888,10.27224,4.57409,4.12974
mar-08,0.0743,0.0425,0.01179,2.36539,0.03614,10.33893,4.57732,4.14259
abr-08,0.0744,0.0455,0.0166,2.35228,0.03479,10.31829,4.60784,4.1511
may-08,0.0744,0.0495,0.0214,2.33511,0.03294,10.37272,4.60096,4.16136
jun-08,0.0756,0.0526,0.02621,2.33281,0.03367,10.2886,4.59743,4.17113
jul-08,0.0793,0.0539,0.0219,2.30611,0.04133,10.22198,4.59631,4.18058
ago-08,0.0818,0.0557,0.01758,2.33066,0.04056,10.17698,4.58759,4.17554
sep-08,0.0817,0.0547,0.01327,2.3962,0.0414,10.12218,4.57675,4.1755
oct-08,0.0774,0.0578,0.00711,2.54259,0.04171,9.92551,4.62301,4.18538
nov-08,0.0743,0.0623,0.00096,2.58945,0.04322,9.92987,4.54748,4.18358
dic-08,0.0802,0.0653,-0.0052,2.62702,0.04024,10.01594,4.53384,4.182
ene-09,0.0759,0.0628,-0.02203,2.66094,0.05009,9.8815,4.50103,4.18439
feb-09,0.0712,0.062,-0.03887,2.71269,0.05238,9.78426,4.44918,4.19057
mar-09,0.0703,0.0604,-0.0557,2.64983,0.04664,9.88465,4.51004,4.19798
abr-09,0.0605,0.0617,-0.06687,2.62787,0.05055,9.99419,4.48248,4.19365
may-09,0.0529,0.0598,-0.07803,2.57769,0.05231,10.09954,4.49346,4.19181
jun-09,0.0498,0.0574,-0.0892,2.57811,0.04975,10.10104,4.49249,4.19745
jul-09,0.0459,0.0544,-0.0761,2.58116,0.05821,10.2052,4.52218,4.19943
ago-09,0.0449,0.0508,-0.063,2.58882,0.06145,10.24459,4.50846,4.20377
sep-09,0.0448,0.0489,-0.0499,2.60216,0.06419,10.28303,4.51593,4.21082
oct-09,0.0451,0.045,-0.0386,2.57626,0.0567,10.26277,4.55855,4.21326
nov-09,0.0451,0.0386,-0.0273,2.55844,0.05109,10.34036,4.52446,4.21943
dic-09,0.045,0.0357,-0.016,2.57001,0.04729,10.37725,4.52062,4.2223
ene-10,0.0449,0.0446,0.00435,2.5657,0.05761,10.32192,4.5324,4.22899
feb-10,0.0449,0.0483,0.0247,2.54764,0.0528,10.362,4.48522,4.23506
mar-10,0.0445,0.0497,0.04505,2.51208,0.04743,10.4123,4.57292,4.24121
abr-10,0.0444,0.0427,0.05348,2.50655,0.05347,10.39474,4.55153,4.23873
may-10,0.0452,0.0392,0.0619,2.55836,0.04995,10.37469,4.55539,4.2412
jun-10,0.0459,0.0369,0.07033,2.55288,0.04921,10.34679,4.55496,4.24255
jul-10,0.046,0.0364,0.06304,2.5373,0.05585,10.38309,4.55591,4.24816
ago-10,0.0452,0.0368,0.05574,2.57776,0.05415,10.36344,4.56107,4.24903
sep-10,0.0443,0.037,0.04845,2.53368,0.05657,10.41422,4.55411,4.25121
oct-10,0.0403,0.0402,0.04611,2.51274,0.05481,10.47921,4.57955,4.2526
nov-10,0.0397,0.0432,0.04377,2.52304,0.05172,10.51372,4.55819,4.25669
dic-10,0.043,0.044,0.04143,2.51362,0.04936,10.55973,4.55085,4.26564
ene-11,0.0414,0.0378,0.03994,2.49749,0.05337,10.51819,4.54287,4.27167
feb-11,0.0404,0.0357,0.03844,2.49372,0.05338,10.51921,4.50746,4.27936
mar-11,0.0427,0.0304,0.03695,2.47724,0.04641,10.53051,4.58683,4.289
abr-11,0.0428,0.0336,0.03385,2.44476,0.0513,10.51766,4.54664,4.29485
may-11,0.0431,0.0325,0.03075,2.44911,0.0518,10.48662,4.58158,4.29327
jun-11,0.0437,0.0328,0.02765,2.46155,0.054,10.50666,4.59098,4.29722
jul-11,0.0414,0.0355,0.03194,2.46321,0.05477,10.49126,4.58162,4.30404
ago-11,0.0405,0.0342,0.03623,2.51349,0.05705,10.4835,4.59718,4.30652
sep-11,0.0423,0.0314,0.04052,2.62463,0.05432,10.4194,4.57622,4.31484
oct-11,0.0436,0.032,0.04078,2.57872,0.04993,10.49571,4.62199,4.32351
nov-11,0.0435,0.0348,0.04103,2.6108,0.04961,10.51404,4.61952,4.33312
dic-11,0.0434,0.0382,0.04129,2.63531,0.04506,10.52077,4.59357,4.34102
ene-12,0.0427,0.0405,0.04356,2.56554,0.04879,10.53003,4.57902,4.34492
feb-12,0.0432,0.0387,0.04584,2.54859,0.0528,10.54051,4.57054,4.34312
mar-12,0.0424,0.0373,0.04811,2.55017,0.04518,10.58459,4.62231,4.3465
abr-12,0.0429,0.0341,0.04536,2.5645,0.04857,10.58307,4.57824,4.34739
may-12,0.0439,0.0385,0.04261,2.66059,0.04673,10.54199,4.62706,4.34989
jun-12,0.0434,0.0434,0.03986,2.59588,0.04751,10.60161,4.61378,4.35158
jul-12,0.0415,0.0442,0.03574,2.58651,0.04992,10.61409,4.62386,4.35029
ago-12,0.0413,0.0457,0.03161,2.58453,0.05327,10.58207,4.62451,4.35396
sep-12,0.0417,0.0477,0.02749,2.55486,0.04905,10.61808,4.60178,4.35678
oct-12,0.0421,0.046,0.02864,2.57193,0.0503,10.63634,4.64187,4.35398
nov-12,0.0429,0.0418,0.02979,2.5593,0.05047,10.64145,4.62957,4.35444
dic-12,0.0405,0.0357,0.03094,2.56232,0.04395,10.68524,4.57274,4.35308
ene-13,0.0415,0.0325,0.02276,2.54234,0.05407,10.72058,4.59656,4.35684
feb-13,0.0419,0.0355,0.01458,2.54784,0.0475,10.69469,4.56641,4.36347
mar-13,0.0398,0.0425,0.0064,2.51456,0.04475,10.6937,4.58467,4.36321
abr-13,0.0382,0.0465,0.01122,2.49697,0.04961,10.65168,4.60444,4.35678
may-13,0.0372,0.0463,0.01604,2.54972,0.0491,10.63557,4.62958,4.35598
jun-13,0.0378,0.0409,0.02086,2.56709,0.04999,10.6121,4.59156,4.36265
jul-13,0.0385,0.0347,0.01878,2.55306,0.05131,10.61737,4.61143,4.36073
ago-13,0.0384,0.0346,0.0167,2.59088,0.05183,10.58386,4.62332,4.36036
sep-13,0.0364,0.0339,0.01462,2.5783,0.05305,10.60125,4.58845,4.36499
oct-13,0.0339,0.0336,0.0138,2.56546,0.05009,10.62227,4.65252,4.36162
nov-13,0.0339,0.0362,0.01297,2.57338,0.04484,10.65724,4.62287,4.36115
dic-13,0.0329,0.0397,0.01215,2.57141,0.04266,10.66259,4.58707,4.36632
ene-14,0.0314,0.0448,0.01748,2.59353,0.05068,10.61839,4.60634,4.3714
feb-14,0.0316,0.0423,0.02281,2.58308,0.04661,10.56573,4.58012,4.38005
mar-14,0.0317,0.0376,0.02814,2.56916,0.04796,10.60811,4.6393,4.38069
abr-14,0.0323,0.035,0.02653,2.57186,0.04851,10.61427,4.61212,4.3819
may-14,0.0328,0.0351,0.02493,2.55419,0.04942,10.63013,4.65453,4.3846
jun-14,0.0302,0.0375,0.02332,2.56273,0.04815,10.66282,4.63368,4.38227
jul-14,0.0283,0.0407,0.0251,2.58225,0.0547,10.68779,4.63712,4.38351
ago-14,0.0277,0.0415,0.02687,2.5708,0.05188,10.72828,4.63322,4.38542
sep-14,0.0283,0.0422,0.02865,2.59771,0.05092,10.7141,4.62503,4.38383
oct-14,0.029,0.043,0.03034,2.60101,0.04775,10.71503,4.68066,4.37708
nov-14,0.0285,0.0417,0.03202,2.63164,0.04527,10.69626,4.64133,4.3761
dic-14,0.0281,0.0408,0.03371,2.69066,0.03757,10.67234,4.61997,4.37519
ene-15,0.0267,0.0307,0.03378,2.70728,0.04513,10.62012,4.62163,4.36567
feb-15,0.0281,0.03,0.03384,2.70507,0.04325,10.69626,4.59845,4.37121
mar-15,0.0304,0.0314,0.03391,2.72554,0.03862,10.68567,4.64709,4.37943
abr-15,0.0297,0.0306,0.03291,2.73251,0.04313,10.70509,4.62204,4.38366
may-15,0.0298,0.0288,0.03192,2.73317,0.04446,10.70781,4.64094,4.38497
jun-15,0.0296,0.0287,0.03092,2.75273,0.04405,10.71561,4.64343,4.38923
jul-15,0.0299,0.0274,0.03426,2.7774,0.04717,10.70891,4.66044,4.38996
ago-15,0.0304,0.0259,0.03761,2.82036,0.0468,10.68561,4.65761,4.38884
sep-15,0.031,0.0252,0.04095,2.82763,0.04497,10.66037,4.65961,4.3916
oct-15,0.0302,0.0248,0.03606,2.80484,0.04551,10.7042,4.67753,4.38999
nov-15,0.0302,0.0221,0.03118,2.80853,0.03959,10.67864,4.6425,4.38961
dic-15,0.0314,0.0213,0.02629,2.84774,0.03962,10.66843,4.62448,4.38816
ene-16,0.0308,0.0261,0.02663,2.90106,0.04255,10.68352,4.6315,4.39373
feb-16,0.0336,0.0287,0.02696,2.89602,0.0414,10.68544,4.62981,4.40369
mar-16,0.038,0.026,0.0273,2.84706,0.03745,10.73381,4.63787,4.40778
abr-16,0.0374,0.0254,0.02824,2.84355,0.03801,10.73171,4.64233,4.4124
may-16,0.0381,0.026,0.02919,2.91299,0.04013,10.72458,4.65294,4.42462
jun-16,0.0381,0.0254,0.03013,2.91586,0.03917,10.73567,4.6521,4.43742
jul-16,0.0421,0.0265,0.02574,2.93299,0.03997,10.75066,4.63915,4.44067
ago-16,0.0424,0.0273,0.02135,2.9371,0.03976,10.76935,4.6607,4.44332
sep-16,0.0428,0.0297,0.01696,2.96412,0.04121,10.76312,4.63904,4.45567
oct-16,0.0469,0.0306,0.02155,2.93856,0.03666,10.77915,4.66274,4.46053
nov-16,0.0515,0.0331,0.02615,3.02118,0.03495,10.72074,4.66455,4.47176
dic-16,0.0561,0.0336,0.03074,3.02623,0.03377,10.7286,4.6225,4.48581
ene-17,0.0583,0.0472,0.03197,3.03451,0.03601,10.75793,4.63949,4.50961
feb-17,0.0606,0.0486,0.03319,2.99552,0.03343,10.75485,4.6088,4.51271
mar-17,0.0632,0.0535,0.03442,2.93362,0.03192,10.79018,4.6821,4.50914
abr-17,0.065,0.0582,0.02863,2.9423,0.03465,10.80489,4.60327,4.50529
may-17,0.0656,0.0616,0.02285,2.92804,0.03549,10.79525,4.65906,4.50694
jun-17,0.0682,0.0631,0.01706,2.89384,0.03286,10.81692,4.65908,4.50012
jul-17,0.0699,0.0644,0.01658,2.88282,0.03417,10.83981,4.6338,4.49929
ago-17,0.0694,0.0666,0.01609,2.88001,0.03515,10.8437,4.66554,4.50115
sep-17,0.0699,0.0635,0.01561,2.89917,0.03589,10.82668,4.62173,4.50441
oct-17,0.0703,0.0637,0.01639,2.95219,0.03508,10.7919,4.66154,4.51623
nov-17,0.0702,0.0663,0.01718,2.92439,0.03405,10.75987,4.65219,4.53096
dic-17,0.0717,0.0677,0.01796,2.97873,0.03147,10.80678,4.61622,4.53618
ene-18,0.0725,0.0555,0.0169,2.92353,0.03364,10.82886,4.65369,4.5473
feb-18,0.074,0.0534,0.01584,2.93562,0.03173,10.76718,4.61595,4.54944
mar-18,0.0747,0.0504,0.01478,2.90531,0.02937,10.73911,4.64657,4.55442
abr-18,0.0746,0.0455,0.02067,2.93321,0.03386,10.78639,4.6443,4.5545
may-18,0.0751,0.0451,0.02655,2.99453,0.03223,10.70689,4.67741,4.57424
jun-18,0.0764,0.0465,0.03244,2.98017,0.03373,10.77191,4.66644,4.58831
jul-18,0.0773,0.0481,0.03103,2.92562,0.03472,10.81372,4.65103,4.58061
ago-18,0.0773,0.049,0.02963,2.95383,0.03457,10.81069,4.67063,4.57727
sep-18,0.0769,0.0502,0.02822,2.92976,0.03581,10.80981,4.64046,4.58666
oct-18,0.0769,0.049,0.02303,3.01149,0.03265,10.69064,4.66858,4.59249
nov-18,0.0783,0.0472,0.01783,3.01286,0.03248,10.63904,4.63636,4.59948
dic-18,0.0802,0.0483,0.01264,2.97814,0.03358,10.63682,4.58361,4.59547
ene-19,0.0795,0.0437,0.01245,2.94648,0.03563,10.69167,4.64905,4.59055
feb-19,0.0793,0.0394,0.01227,2.95807,0.03293,10.66485,4.61434,4.59329
mar-19,0.0802,0.04,0.01208,2.96413,0.03223,10.67548,4.6452,4.59688
abr-19,0.0778,0.0441,0.00432,2.94496,0.03498,10.70543,4.61294,4.60168
may-19,0.0807,0.0428,-0.00344,2.9777,0.03501,10.6631,4.64245,4.60161
jun-19,0.0825,0.0395,-0.0112,2.95536,0.03565,10.6727,4.63368,4.60415
jul-19,0.0814,0.0378,-0.00807,2.94407,0.03736,10.61798,4.63521,4.60517
ago-19,0.0801,0.0316,-0.00493,2.99921,0.03706,10.66014,4.65679,4.59681
sep-19,0.0772,0.03,-0.0018,2.98237,0.0378,10.66922,4.62131,4.60442
oct-19,0.0766,0.0302,-0.0033,2.95464,0.03691,10.67677,4.63431,4.59945
nov-19,0.0747,0.0297,-0.0048,2.97222,0.03418,10.66476,4.61515,4.60095
dic-19,0.0712,0.0283,-0.0063,2.93727,0.02905,10.68146,4.57234,4.60545
ene-20,0.0712,0.0324,-0.0071,2.9396,0.03779,10.6944,NULL,4.60095
feb-20,0.0696,0.037,-0.0079,2.98447,0.0353,10.62921,4.60607,4.60022
mar-20,0.0681,0.0325,-0.0087,3.15635,0.02908,10.45029,4.60429,4.61956
abr-20,0.0609,0.0215,-0.0678,3.17506,0.04686,10.50425,4.28609,4.634
may-20,0.0547,0.0284,-0.1269,3.09909,0.04192,10.49468,4.28916,4.63188
jun-20,0.0506,0.0333,-0.186,3.13937,0.05492,10.53785,4.46078,4.63063
jul-20,0.0482,0.0362,-0.15203,3.10015,0.0535,10.5192,4.51967,4.64168
ago-20,0.0449,0.0405,-0.11807,3.08594,0.05257,10.51436,4.56241,4.64617
sep-20,0.0438,0.0401,-0.0841,3.09756,0.05128,10.53099,4.56582,4.64175
oct-20,0.042,0.0409,-0.07043,3.05639,0.04708,10.51835,4.59965,4.64248
nov-20,0.0423,0.0333,-0.05677,3.0027,0.04353,10.64015,4.57317,4.63947
dic-20,0.0427,0.0315,-0.0431,2.99116,0.0379,10.69346,4.54878,4.64154
ene-21,0.0422,0.0354,-0.04157,3.00691,0.04702,10.66862,4.57977,4.65253
feb-21,0.0412,0.0376,-0.04003,3.04161,0.04397,10.70533,4.55052,4.66545
mar-21,0.0405,0.0467,-0.0385,3.01749,0.0387,10.76313,4.61788,4.68002
abr-21,0.0407,0.0608,0.04067,3.0048,0.04652,10.77916,4.57999,4.68301
may-21,0.0406,0.0589,0.11983,2.99179,0.03993,10.83734,4.59391,4.69111
jun-21,0.0402,0.0588,0.199,2.99103,0.04023,10.82556,4.58555,4.69925
jul-21,0.0432,0.0581,0.14761,2.98798,0.04382,10.837,4.59398,4.70404
ago-21,0.0446,0.0559,0.09623,2.99875,0.04326,10.88378,4.61427,4.70724
sep-21,0.0455,0.06,0.04484,3.02346,0.04184,10.84711,4.57836,4.71091
oct-21,0.0484,0.0624,0.03363,3.02187,0.03949,10.84564,4.6048,4.72307
nov-21,0.0505,0.0737,0.02243,3.06551,0.03664,10.81373,4.58932,4.73358
dic-21,0.0529,0.0736,0.01122,3.01882,0.03514,10.88317,4.57742,4.73975
