fecha,tasa_cetes,inflacion,pib,ln_tc,td,ln_ipc,ln_actvindustrial,ln_inpp,ahorro,ln_export,ln_import,inversion
dic-00,0.1705,0.0896,0.03573,2.26278,NULL,8.6398,4.45495,NULL,0.2208,9.52043,9.62084,-0.035
ene-01,0.1789,0.0811,0.02568,2.27035,NULL,8.77908,4.50611,NULL,0.2217,9.46134,9.53239,-0.0326
feb-01,0.1734,0.0709,0.01564,2.27238,NULL,8.70485,4.46303,NULL,0.2225,9.43876,9.48266,-0.0887
mar-01,0.158,0.0717,0.00559,2.25059,NULL,8.6531,4.51184,NULL,0.2234,9.56879,9.61132,-0.0557
abr-01,0.1496,0.0711,0.00306,2.22502,NULL,8.69739,4.42218,NULL,0.2161,9.49349,9.55483,-0.0889
may-01,0.1195,0.0695,0.00053,2.21741,NULL,8.79413,4.48215,NULL,0.2087,9.5505,9.59289,-0.095
jun-01,0.0943,0.0657,-0.002,2.20506,NULL,8.8048,4.47845,NULL,0.2014,9.50475,9.52875,-0.0948
jul-01,0.0939,0.0588,-0.0052,2.21275,NULL,8.77561,4.49635,NULL,0.2035,9.46866,9.51067,-0.059
ago-01,0.0751,0.0593,-0.0084,2.2192,NULL,8.75,4.52973,NULL,0.2056,9.51063,9.55842,-0.0898
sep-01,0.0932,0.0614,-0.0116,2.25232,NULL,8.59481,4.50207,NULL,0.2077,9.44771,9.48282,-0.0781
oct-01,0.0836,0.0589,-0.01033,2.22508,NULL,8.61922,4.48778,NULL,0.2055,9.58086,9.65253,-0.0903
nov-01,0.0743,0.0539,-0.00907,2.22658,NULL,8.67126,4.47214,NULL,0.2034,9.43439,9.56021,-0.066
dic-01,0.0629,0.044,-0.0078,2.21588,NULL,8.75971,4.45253,NULL,0.2012,9.40722,9.5077,-0.0321
ene-02,0.0697,0.0479,-0.0151,2.21335,NULL,8.84331,4.46527,NULL,0.2055,9.357,9.40585,-0.068
feb-02,0.0791,0.0479,-0.0224,2.2116,NULL,8.81499,4.41992,NULL,0.2099,9.39076,9.43711,-0.0423
mar-02,0.0723,0.0466,-0.0297,2.199,NULL,8.90407,4.43702,NULL,0.2142,9.48192,9.50426,-0.1044
abr-02,0.0576,0.047,-0.01608,2.23773,NULL,8.92009,4.47024,NULL,0.2103,9.57811,9.61674,0.0744
may-02,0.0661,0.0468,-0.00245,2.2676,NULL,8.85818,4.47208,NULL,0.2064,9.54046,9.57808,0.0198
jun-02,0.073,0.0494,0.01117,2.29826,NULL,8.77353,4.45328,NULL,0.2025,9.48221,9.51184,-0.028
jul-02,0.0738,0.0551,0.00829,2.28096,NULL,8.70315,4.47917,NULL,0.2052,9.55156,9.5861,-0.017
ago-02,0.0668,0.0529,0.00541,2.29364,NULL,8.73495,4.509,NULL,0.2079,9.52712,9.56805,-0.0388
sep-02,0.0734,0.0495,0.00253,2.32531,NULL,8.6532,4.48491,NULL,0.2106,9.51588,9.55134,-0.0218
oct-02,0.0766,0.0494,0.00641,2.31799,NULL,8.69412,4.51378,NULL,0.2076,9.60616,9.65992,0.0115
nov-02,0.073,0.0539,0.01028,2.31713,NULL,8.72532,4.46564,NULL,0.2046,9.49027,9.57484,-0.0143
dic-02,0.0688,0.057,0.01416,2.34558,NULL,8.72048,4.45296,NULL,0.2016,9.50559,9.58742,-0.0281
ene-03,0.0827,0.0516,0.01985,2.3894,NULL,8.69188,4.47232,NULL,0.2086,9.44253,9.44322,0.0203
feb-03,0.0904,0.0552,0.02554,2.40084,NULL,8.68728,4.4519,NULL,0.2155,9.46243,9.44001,0.0376
mar-03,0.0917,0.0564,0.03123,2.37852,NULL,8.68508,4.49578,NULL,0.2225,9.51567,9.54576,0.0957
abr-03,0.0786,0.0525,0.02261,2.33214,NULL,8.78108,4.46117,NULL,0.2173,9.51512,9.57285,-0.0114
may-03,0.0525,0.047,0.014,2.3358,NULL,8.80974,4.48569,NULL,0.2122,9.48444,9.52331,-0.0057
jun-03,0.052,0.0427,0.00538,2.34536,NULL,8.86149,4.48312,NULL,0.207,9.51251,9.53583,0.0284
jul-03,0.0457,0.0413,0.00527,2.35369,NULL,8.90315,4.49892,NULL,0.2068,9.52809,9.57667,0.0105
ago-03,0.0445,0.0404,0.00515,2.4022,NULL,8.93477,4.50605,NULL,0.2066,9.50508,9.53364,-0.0195
sep-03,0.0473,0.0404,0.00504,2.3991,NULL,8.96476,4.49724,NULL,0.2064,9.57325,9.59771,-0.0296
oct-03,0.0511,0.0396,0.00901,2.40266,NULL,8.99527,4.52303,NULL,0.207,9.6243,9.66367,-0.005
nov-03,0.0499,0.0398,0.01297,2.43348,NULL,9.05421,4.46777,NULL,0.2075,9.52957,9.59511,-0.0313
dic-03,0.0606,0.0398,0.01694,2.41923,NULL,9.08197,4.49131,3.88608,0.2081,9.61838,9.68439,0.0474
ene-04,0.0495,0.042,0.02299,2.39984,NULL,9.15152,4.50672,3.89258,0.2121,9.45022,9.46282,0.056
feb-04,0.0557,0.0453,0.02904,2.40339,NULL,9.20952,4.47321,3.90445,0.2161,9.53707,9.5522,0.0084
mar-04,0.0628,0.0423,0.03509,2.41366,NULL,9.2608,4.55563,3.91588,0.2201,9.71823,9.7273,0.0817
abr-04,0.0598,0.0421,0.03729,2.43443,NULL,9.20514,4.51083,3.92592,0.2217,9.59736,9.64371,0.0661
may-04,0.0659,0.0429,0.03948,2.4349,NULL,9.21396,4.52042,3.93234,0.2234,9.68997,9.68421,0.0607
jun-04,0.0657,0.0437,0.04168,2.44459,NULL,9.23813,4.53116,3.93848,0.225,9.71156,9.7422,0.0963
jul-04,0.0681,0.0449,0.04022,2.43431,NULL,9.22191,4.52367,3.94433,0.2237,9.61694,9.6708,0.0543
ago-04,0.0721,0.0482,0.03877,2.43192,NULL,9.23643,4.53567,3.95058,0.2224,9.73671,9.77569,0.0428
sep-04,0.0736,0.0506,0.03731,2.4326,NULL,9.30177,4.53898,3.95392,0.2211,9.67593,9.7034,0.0788
oct-04,0.0776,0.054,0.03906,2.44573,NULL,9.35568,4.55233,3.95951,0.2202,9.73585,9.77132,0.0694
nov-04,0.082,0.0543,0.04081,2.41924,NULL,9.40117,4.52119,3.9642,0.2194,9.7454,9.87443,0.1444
dic-04,0.085,0.0519,0.04256,2.41139,NULL,9.46637,4.51778,3.96438,0.2185,9.65212,9.78765,0.0943
ene-05,0.086,0.0454,0.03094,2.41717,0.03951,9.48015,4.52249,3.96882,0.2207,9.55572,9.63376,0.0472
feb-05,0.0915,0.0427,0.01933,2.40663,0.03773,9.53166,4.4905,3.97308,0.2229,9.64288,9.67939,0.0544
mar-05,0.0941,0.0439,0.00771,2.41397,0.03627,9.44754,4.53548,3.9785,0.2251,9.7618,9.77085,0.0159
abr-05,0.0963,0.046,0.01418,2.40543,0.03363,9.41922,4.5562,3.98119,0.2208,9.76301,9.79887,0.0848
may-05,0.0975,0.046,0.02066,2.39023,0.03303,9.46996,4.55703,3.98146,0.2166,9.8136,9.81301,0.0601
jun-05,0.0963,0.0433,0.02713,2.37725,0.03482,9.50942,4.54607,3.98265,0.2123,9.81561,9.81855,0.051
jul-05,0.0961,0.0447,0.02662,2.36139,0.03923,9.57565,4.51093,3.98978,0.2113,9.70361,9.74671,0.0267
ago-05,0.096,0.0395,0.0261,2.3795,0.0367,9.56403,4.56968,3.99101,0.2103,9.87814,9.91026,0.0869
sep-05,0.0921,0.0351,0.02559,2.37868,0.03578,9.68782,4.55632,3.99355,0.2093,9.81506,9.83293,0.0644
oct-05,0.0891,0.0305,0.0275,2.37822,0.03385,9.66521,4.56896,3.99716,0.2127,9.88125,9.9154,0.0608
nov-05,0.0871,0.0291,0.02941,2.3589,0.02939,9.73098,4.56106,3.99934,0.216,9.91463,9.98417,0.0867
dic-05,0.0822,0.0333,0.03132,2.36409,0.0277,9.78711,4.5673,4.0036,0.2194,9.8727,9.93311,0.1037
ene-06,0.0788,0.0394,0.03968,2.34596,0.03477,9.84729,4.56563,4.01229,0.2208,9.863,9.82618,0.0772
feb-06,0.0761,0.0375,0.04804,2.34718,0.03745,9.83662,4.52444,4.01539,0.2223,9.83784,9.82546,0.0672
mar-06,0.0737,0.0341,0.0564,2.38817,0.03311,9.86644,4.61486,4.02079,0.2237,9.9483,9.95743,0.1307
abr-06,0.0717,0.032,0.05168,2.40607,0.03195,9.93529,4.55761,4.03164,0.2257,9.89144,9.87834,0.0481
may-06,0.0702,0.03,0.04695,2.4245,0.02839,9.8351,4.60684,4.04282,0.2278,10.03056,10.03424,0.1177
jun-06,0.0702,0.0318,0.04223,2.42235,0.03258,9.85991,4.5957,4.04917,0.2298,9.96689,9.98206,0.0965
jul-06,0.0703,0.0306,0.04396,2.39042,0.04007,9.90827,4.58286,4.05505,0.23,9.89474,9.91288,0.1125
ago-06,0.0703,0.0347,0.0457,2.3891,0.03872,9.95462,4.61496,4.05904,0.2302,10.03551,10.06909,0.1065
sep-06,0.0706,0.0409,0.04743,2.3973,0.03995,9.99594,4.59888,4.0592,0.2304,9.92776,9.99752,0.1051
oct-06,0.0705,0.0429,0.04314,2.37621,0.03817,10.04529,4.61577,4.05644,0.2298,10.05129,10.10656,0.1237
nov-06,0.0704,0.0409,0.03885,2.39767,0.03502,10.12511,4.58826,4.05895,0.2293,9.94531,10.01978,0.0761
dic-06,0.0704,0.0405,0.03456,2.38062,0.03316,10.18295,4.56089,4.06302,0.2287,9.90913,9.96528,0.0598
ene-07,0.0704,0.0398,0.02979,2.40136,0.04046,10.22417,4.57805,4.06369,0.2294,9.85216,9.93677,0.0314
feb-07,0.0704,0.0411,0.02503,2.41307,0.04051,10.19013,4.54252,4.06994,0.2302,9.88374,9.90386,0.0626
mar-07,0.0704,0.0421,0.02026,2.40082,0.03726,10.26631,4.62805,4.07499,0.2309,9.98326,10.00055,0.028
abr-07,0.0701,0.0399,0.02015,2.39131,0.03513,10.27494,4.57108,4.07954,0.2299,9.95592,9.99131,0.05
may-07,0.0724,0.0395,0.02003,2.37439,0.0315,10.35453,4.61157,4.08113,0.2288,10.07803,10.10789,0.0428
jun-07,0.072,0.0398,0.01992,2.37905,0.03281,10.3466,4.60457,4.08675,0.2278,10.03299,10.06866,0.0287
jul-07,0.0719,0.0414,0.0213,2.39126,0.0379,10.3307,4.59717,4.09222,0.2279,10.02724,10.05748,0.0645
ago-07,0.072,0.0403,0.02269,2.40133,0.03831,10.32048,4.607,4.09555,0.2279,10.10616,10.14858,0.0479
sep-07,0.0721,0.0379,0.02407,2.39165,0.03761,10.31878,4.59885,4.09991,0.228,10.04937,10.07657,0.0529
oct-07,0.072,0.0374,0.02515,2.37046,0.03771,10.35643,4.6376,4.10331,0.2312,10.16927,10.22737,0.1147
nov-07,0.0744,0.0393,0.02622,2.38847,0.03354,10.30127,4.58732,4.11056,0.2345,10.09954,10.13273,0.0917
dic-07,0.0744,0.0376,0.0273,2.3902,0.03106,10.29339,4.57425,4.11288,0.2377,10.05451,10.07728,0.0777
ene-08,0.0742,0.037,0.02213,2.38197,0.04117,10.26791,4.58918,4.12007,0.2355,10.00933,10.08566,0.117
feb-08,0.0743,0.0372,0.01696,2.37251,0.03888,10.27224,4.57409,4.12974,0.2332,10.03696,10.08493,0.1291
mar-08,0.0743,0.0425,0.01179,2.36539,0.03614,10.33893,4.57732,4.14259,0.231,10.12644,10.07562,0.0063
abr-08,0.0744,0.0455,0.0166,2.35228,0.03479,10.31829,4.60784,4.1511,0.2335,10.20469,10.24416,0.1488
may-08,0.0744,0.0495,0.0214,2.33511,0.03294,10.37272,4.60096,4.16136,0.2361,10.16592,10.16639,0.1052
jun-08,0.0756,0.0526,0.02621,2.33281,0.03367,10.2886,4.59743,4.17113,0.2386,10.18004,10.17106,0.1347
jul-08,0.0793,0.0539,0.0219,2.30611,0.04133,10.22198,4.59631,4.18058,0.2374,10.22369,10.26684,0.1459
ago-08,0.0818,0.0557,0.01758,2.33066,0.04056,10.17698,4.58759,4.17554,0.2363,10.15941,10.2439,0.0368
sep-08,0.0817,0.0547,0.01327,2.3962,0.0414,10.12218,4.57675,4.1755,0.2351,10.13005,10.24071,0.0235
oct-08,0.0774,0.0578,0.00711,2.54259,0.04171,9.92551,4.62301,4.18538,0.2431,10.10354,10.22997,0.0265
nov-08,0.0743,0.0623,0.00096,2.58945,0.04322,9.92987,4.54748,4.18358,0.2511,9.91717,10.05341,-0.0314
dic-08,0.0802,0.0653,-0.0052,2.62702,0.04024,10.01594,4.53384,4.182,0.2591,9.83541,9.94043,-0.0176
ene-09,0.0759,0.0628,-0.02203,2.66094,0.05009,9.8815,4.50103,4.18439,0.2502,9.62125,9.72849,-0.0931
feb-09,0.0712,0.062,-0.03887,2.71269,0.05238,9.78426,4.44918,4.19057,0.2412,9.68439,9.71796,-0.1467
mar-09,0.0703,0.0604,-0.0557,2.64983,0.04664,9.88465,4.51004,4.19798,0.2323,9.8265,9.82847,-0.0717
abr-09,0.0605,0.0617,-0.06687,2.62787,0.05055,9.99419,4.48248,4.19365,0.2303,9.76262,9.75288,-0.1707
may-09,0.0529,0.0598,-0.07803,2.57769,0.05231,10.09954,4.49346,4.19181,0.2282,9.75489,9.72846,-0.1471
jun-09,0.0498,0.0574,-0.0892,2.57811,0.04975,10.10104,4.49249,4.19745,0.2262,9.87312,9.88175,-0.1309
jul-09,0.0459,0.0544,-0.0761,2.58116,0.05821,10.2052,4.52218,4.19943,0.226,9.79903,9.86552,-0.1352
ago-09,0.0449,0.0508,-0.063,2.58882,0.06145,10.24459,4.50846,4.20377,0.2257,9.88153,9.91512,-0.1261
sep-09,0.0448,0.0489,-0.0499,2.60216,0.06419,10.28303,4.51593,4.21082,0.2255,9.94937,9.9905,-0.1069
oct-09,0.0451,0.045,-0.0386,2.57626,0.0567,10.26277,4.55855,4.21326,0.2275,10.00413,9.99337,-0.1218
nov-09,0.0451,0.0386,-0.0273,2.55844,0.05109,10.34036,4.52446,4.21943,0.2295,10.01521,10.02098,-0.0922
dic-09,0.045,0.0357,-0.016,2.57001,0.04729,10.37725,4.52062,4.2223,0.2315,10.04429,10.05124,-0.052
ene-10,0.0449,0.0446,0.00435,2.5657,0.05761,10.32192,4.5324,4.22899,0.2319,9.86214,9.88502,0.0279
feb-10,0.0449,0.0483,0.0247,2.54764,0.0528,10.362,4.48522,4.23506,0.2323,9.96658,9.94654,0.0204
mar-10,0.0445,0.0497,0.04505,2.51208,0.04743,10.4123,4.57292,4.24121,0.2327,10.16985,10.15467,0.0579
abr-10,0.0444,0.0427,0.05348,2.50655,0.05347,10.39474,4.55153,4.23873,0.2312,10.12039,10.11715,0.0847
may-10,0.0452,0.0392,0.0619,2.55836,0.04995,10.37469,4.55539,4.2412,0.2298,10.11846,10.11148,0.0479
jun-10,0.0459,0.0369,0.07033,2.55288,0.04921,10.34679,4.55496,4.24255,0.2283,10.12665,10.14002,0.0326
jul-10,0.046,0.0364,0.06304,2.5373,0.05585,10.38309,4.55591,4.24816,0.2255,10.05767,10.10088,0.0028
ago-10,0.0452,0.0368,0.05574,2.57776,0.05415,10.36344,4.56107,4.24903,0.2227,10.20052,10.22612,0.041
sep-10,0.0443,0.037,0.04845,2.53368,0.05657,10.41422,4.55411,4.25121,0.2199,10.14008,10.16051,0.0518
oct-10,0.0403,0.0402,0.04611,2.51274,0.05481,10.47921,4.57955,4.2526,0.2236,10.18603,10.21529,0.0561
nov-10,0.0397,0.0432,0.04377,2.52304,0.05172,10.51372,4.55819,4.25669,0.2272,10.246,10.24901,0.086
dic-10,0.043,0.044,0.04143,2.51362,0.04936,10.55973,4.55085,4.26564,0.2309,10.20157,10.20799,0.0565
ene-11,0.0414,0.0378,0.03994,2.49749,0.05337,10.51819,4.54287,4.27167,0.2289,10.11353,10.10774,0.0245
feb-11,0.0404,0.0357,0.03844,2.49372,0.05338,10.51921,4.50746,4.27936,0.227,10.15702,10.14492,0.0421
mar-11,0.0427,0.0304,0.03695,2.47724,0.04641,10.53051,4.58683,4.289,0.225,10.35313,10.30559,0.0231
abr-11,0.0428,0.0336,0.03385,2.44476,0.0513,10.51766,4.54664,4.29485,0.2264,10.23308,10.21101,0.0044
may-11,0.0431,0.0325,0.03075,2.44911,0.0518,10.48662,4.58158,4.29327,0.2277,10.34431,10.32685,0.0821
jun-11,0.0437,0.0328,0.02765,2.46155,0.054,10.50666,4.59098,4.29722,0.2291,10.32203,10.31893,0.1122
jul-11,0.0414,0.0355,0.03194,2.46321,0.05477,10.49126,4.58162,4.30404,0.2292,10.23454,10.27611,0.1026
